ticket_id,customer_id,issue_type,priority,status,created_date
1,195,Feature Request,High,Pending,2024-07-09
2,320,Billing,Medium,Pending,2025-08-18
3,52,Bug Report,High,Resolved,2025-05-01
4,350,Feature Request,Low,Pending,2024-06-08
5,489,Account Access,High,Open,2024-07-29
6,201,Account Access,Low,Open,2025-12-10
7,68,Account Access,High,Open,2024-07-23
8,401,Billing,Low,Open,2025-08-13
9,75,Bug Report,High,Resolved,2024-08-01
10,427,Feature Request,Low,Resolved,2025-12-18
11,378,Login Issue,Medium,Resolved,2026-04-04
12,235,Login Issue,Medium,Pending,2025-05-09
13,125,Bug Report,Low,Pending,2025-12-31
14,54,Account Access,High,Resolved,2025-11-07
15,61,Login Issue,Low,Resolved,2025-03-26
16,397,Billing,Medium,Pending,2025-12-19
17,141,Feature Request,Medium,Resolved,2024-12-18
18,404,Bug Report,High,Pending,2025-06-24
19,369,Feature Request,Medium,Pending,2026-03-21
20,230,Account Access,Medium,Pending,2024-12-05
21,181,Bug Report,High,Resolved,2024-08-27
22,468,Account Access,High,Resolved,2026-02-24
23,356,Account Access,Low,Resolved,2024-09-26
24,354,Account Access,Low,Pending,2026-02-19
25,362,Bug Report,Low,Pending,2025-03-31
26,133,Bug Report,Low,Resolved,2024-11-26
27,347,Account Access,Medium,Open,2025-09-17
28,195,Login Issue,Medium,Pending,2025-05-28
29,27,Login Issue,Low,Open,2024-06-16
30,409,Billing,High,Open,2026-02-12
31,51,Billing,Medium,Pending,2025-12-18
32,441,Login Issue,High,Resolved,2026-01-04
33,458,Account Access,Medium,Pending,2025-10-27
34,158,Billing,High,Pending,2026-04-04
35,155,Login Issue,Medium,Open,2025-07-06
36,197,Login Issue,Low,Open,2025-12-12
37,123,Billing,Low,Open,2025-07-13
38,172,Feature Request,Low,Pending,2025-05-21
39,356,Feature Request,High,Pending,2025-08-31
40,432,Feature Request,High,Pending,2025-01-23
41,94,Billing,Medium,Resolved,2025-03-03
42,372,Billing,Medium,Resolved,2026-02-22
43,225,Login Issue,Medium,Resolved,2025-02-26
44,264,Login Issue,High,Open,2025-05-09
45,388,Bug Report,High,Pending,2025-08-28
46,119,Billing,Medium,Pending,2025-05-26
47,335,Billing,Medium,Open,2026-01-01
48,379,Feature Request,High,Resolved,2024-06-17
49,86,Account Access,Medium,Resolved,2025-08-14
50,219,Login Issue,Low,Resolved,2025-05-29
51,130,Bug Report,Medium,Resolved,2025-10-01
52,433,Feature Request,Medium,Open,2025-08-03
53,324,Login Issue,Low,Open,2026-04-02
54,433,Bug Report,Medium,Resolved,2025-11-09
55,405,Bug Report,High,Pending,2025-05-24
56,166,Billing,Medium,Open,2025-08-20
57,368,Feature Request,Low,Open,2025-09-06
58,424,Account Access,High,Pending,2025-10-31
59,97,Feature Request,Medium,Pending,2025-08-12
60,60,Account Access,High,Pending,2024-09-26
61,413,Feature Request,Low,Resolved,2025-09-13
62,255,Bug Report,Medium,Open,2026-05-15
63,91,Feature Request,Medium,Open,2025-07-31
64,247,Login Issue,Low,Resolved,2026-04-02
65,459,Account Access,High,Open,2024-09-28
66,43,Feature Request,High,Pending,2025-02-24
67,256,Account Access,Low,Open,2024-12-10
68,375,Billing,Low,Resolved,2025-05-05
69,498,Login Issue,Low,Open,2025-04-15
70,117,Login Issue,High,Resolved,2025-10-27
71,340,Billing,Medium,Resolved,2025-10-27
72,346,Login Issue,High,Pending,2024-07-11
73,275,Feature Request,High,Open,2024-10-17
74,352,Bug Report,Medium,Pending,2025-10-08
75,303,Login Issue,High,Pending,2024-12-15
76,466,Bug Report,High,Pending,2024-07-30
77,330,Feature Request,Low,Open,2025-11-10
78,168,Billing,Medium,Open,2025-10-01
79,226,Account Access,High,Pending,2025-05-14
80,211,Bug Report,Medium,Open,2026-04-04
81,166,Login Issue,Medium,Resolved,2025-06-25
82,171,Billing,Medium,Resolved,2025-09-25
83,367,Bug Report,High,Pending,2025-04-23
84,432,Account Access,Medium,Resolved,2026-02-13
85,88,Billing,Low,Resolved,2024-09-13
86,71,Login Issue,Medium,Resolved,2024-12-16
87,446,Login Issue,Medium,Resolved,2025-07-16
88,389,Bug Report,Low,Open,2025-04-24
89,420,Account Access,Medium,Open,2025-02-15
90,83,Billing,Low,Resolved,2025-01-22
91,379,Billing,Low,Pending,2025-07-26
92,136,Login Issue,Low,Pending,2024-08-03
93,41,Bug Report,High,Pending,2024-08-28
94,338,Login Issue,High,Open,2024-09-16
95,117,Feature Request,High,Resolved,2025-07-07
96,78,Account Access,Low,Resolved,2026-04-06
97,237,Feature Request,Medium,Open,2026-04-21
98,176,Login Issue,High,Resolved,2025-07-09
99,219,Feature Request,High,Open,2025-03-16
100,209,Billing,High,Open,2026-04-02
101,306,Login Issue,High,Resolved,2025-03-08
102,455,Account Access,Medium,Pending,2025-01-27
103,90,Account Access,High,Resolved,2024-06-28
104,183,Bug Report,High,Open,2026-03-17
105,493,Login Issue,Medium,Resolved,2025-05-17
106,34,Account Access,Medium,Pending,2025-04-06
107,13,Login Issue,Medium,Open,2024-06-20
108,137,Account Access,High,Pending,2025-11-28
109,395,Feature Request,Medium,Pending,2026-02-03
110,80,Account Access,Low,Pending,2025-11-25
111,221,Billing,Medium,Resolved,2025-03-12
112,229,Login Issue,Low,Resolved,2025-01-19
113,187,Bug Report,Low,Pending,2025-02-13
114,68,Bug Report,Low,Resolved,2025-09-18
115,329,Login Issue,Low,Resolved,2025-09-10
116,24,Feature Request,Medium,Pending,2026-03-24
117,96,Account Access,Medium,Open,2025-02-18
118,25,Login Issue,Low,Pending,2025-12-07
119,474,Billing,High,Resolved,2024-12-10
120,85,Bug Report,Low,Resolved,2026-05-16
121,117,Bug Report,High,Pending,2025-09-19
122,240,Billing,High,Pending,2025-06-12
123,103,Login Issue,High,Resolved,2024-08-27
124,320,Account Access,Medium,Pending,2026-03-06
125,372,Account Access,High,Open,2024-10-14
126,395,Bug Report,Low,Open,2024-06-02
127,232,Billing,Low,Pending,2026-02-13
128,371,Account Access,High,Resolved,2025-05-27
129,482,Bug Report,Medium,Open,2024-07-17
130,155,Login Issue,High,Resolved,2026-01-14
131,461,Billing,Medium,Resolved,2024-11-15
132,85,Billing,High,Open,2024-08-26
133,217,Billing,Low,Pending,2026-01-02
134,293,Account Access,Medium,Open,2025-01-05
135,430,Bug Report,Low,Open,2025-02-06
136,30,Account Access,Medium,Pending,2025-08-03
137,109,Billing,Low,Resolved,2025-11-03
138,89,Account Access,Medium,Pending,2025-05-28
139,38,Account Access,Low,Open,2025-01-03
140,251,Billing,Medium,Pending,2025-10-22
141,56,Account Access,Low,Open,2025-05-30
142,426,Feature Request,Medium,Resolved,2024-10-13
143,487,Login Issue,Medium,Open,2025-07-05
144,469,Feature Request,Medium,Open,2024-11-11
145,302,Bug Report,Medium,Resolved,2025-11-13
146,211,Bug Report,Medium,Resolved,2024-11-13
147,275,Bug Report,Medium,Open,2025-06-06
148,432,Bug Report,Medium,Resolved,2026-04-10
149,383,Login Issue,Medium,Resolved,2024-07-04
150,260,Login Issue,High,Resolved,2024-07-09
151,246,Account Access,Low,Resolved,2024-07-24
152,408,Bug Report,Low,Pending,2026-03-30
153,52,Billing,Low,Resolved,2024-12-24
154,252,Bug Report,High,Resolved,2026-02-18
155,284,Account Access,Medium,Open,2025-07-09
156,33,Bug Report,Low,Resolved,2024-12-18
157,410,Account Access,Medium,Resolved,2024-12-24
158,161,Login Issue,Medium,Open,2025-03-18
159,270,Account Access,High,Resolved,2025-06-25
160,460,Billing,Medium,Pending,2025-05-22
161,74,Login Issue,Low,Pending,2025-06-13
162,446,Account Access,Medium,Pending,2026-02-06
163,381,Bug Report,Low,Open,2026-03-04
164,43,Account Access,Low,Pending,2024-11-27
165,252,Login Issue,High,Open,2025-12-05
166,272,Login Issue,Medium,Pending,2024-07-10
167,101,Bug Report,High,Resolved,2025-05-05
168,14,Bug Report,Low,Resolved,2025-11-08
169,199,Billing,Medium,Resolved,2025-05-24
170,301,Billing,Medium,Pending,2025-04-30
171,39,Account Access,High,Resolved,2026-02-20
172,47,Account Access,Low,Resolved,2026-04-25
173,153,Feature Request,Low,Open,2025-11-14
174,352,Feature Request,Medium,Open,2025-02-01
175,4,Feature Request,Low,Resolved,2024-08-13
176,398,Billing,Low,Pending,2025-07-05
177,339,Feature Request,Low,Pending,2025-04-01
178,499,Account Access,Medium,Pending,2026-05-15
179,214,Bug Report,Medium,Resolved,2025-04-12
180,196,Bug Report,Low,Pending,2025-04-08
181,202,Login Issue,Low,Open,2025-02-10
182,133,Billing,High,Open,2025-10-12
183,487,Account Access,Medium,Resolved,2024-12-11
184,196,Billing,High,Resolved,2024-07-01
185,162,Feature Request,High,Pending,2025-02-07
186,172,Bug Report,Medium,Pending,2025-03-17
187,77,Billing,Medium,Resolved,2025-06-26
188,176,Billing,Medium,Resolved,2025-06-07
189,391,Bug Report,Low,Pending,2024-08-13
190,428,Feature Request,Low,Pending,2026-02-23
191,454,Account Access,Low,Pending,2025-11-20
192,269,Bug Report,Low,Resolved,2025-08-30
193,182,Bug Report,Medium,Open,2024-10-18
194,48,Login Issue,High,Resolved,2025-08-07
195,418,Login Issue,Low,Resolved,2026-03-21
196,491,Feature Request,Medium,Open,2024-08-08
197,269,Billing,Low,Pending,2024-08-10
198,309,Login Issue,Low,Resolved,2025-05-20
199,479,Login Issue,Medium,Open,2026-02-07
200,404,Feature Request,Low,Pending,2025-09-19
201,367,Bug Report,Medium,Open,2024-06-12
202,411,Login Issue,Low,Open,2024-12-27
203,205,Feature Request,High,Open,2026-05-18
204,426,Bug Report,Low,Resolved,2025-04-07
205,73,Feature Request,Medium,Pending,2025-11-29
206,468,Feature Request,Low,Open,2026-03-16
207,225,Bug Report,High,Open,2024-12-27
208,299,Account Access,Medium,Open,2026-01-03
209,93,Account Access,Low,Pending,2026-05-24
210,288,Billing,Medium,Resolved,2025-09-30
211,473,Login Issue,High,Resolved,2025-04-23
212,12,Feature Request,Low,Resolved,2026-04-01
213,481,Bug Report,High,Pending,2026-05-03
214,321,Account Access,Low,Resolved,2025-02-14
215,339,Billing,Low,Resolved,2024-08-05
216,497,Login Issue,High,Open,2025-10-06
217,18,Account Access,Low,Pending,2024-09-09
218,500,Bug Report,Low,Resolved,2026-03-10
219,335,Billing,Low,Resolved,2025-05-03
220,89,Feature Request,Medium,Resolved,2024-06-23
221,440,Login Issue,Low,Pending,2025-01-01
222,34,Billing,Medium,Open,2026-01-14
223,44,Feature Request,High,Pending,2025-03-11
224,196,Bug Report,High,Open,2025-04-05
225,432,Feature Request,Low,Pending,2024-12-08
226,278,Login Issue,Low,Resolved,2024-09-16
227,212,Feature Request,Medium,Pending,2025-05-16
228,104,Account Access,Low,Resolved,2024-06-23
229,379,Login Issue,High,Open,2024-11-15
230,145,Login Issue,Low,Pending,2025-12-23
231,175,Account Access,Medium,Resolved,2025-11-26
232,148,Bug Report,High,Resolved,2024-12-28
233,292,Account Access,High,Open,2025-08-18
234,54,Feature Request,Medium,Open,2025-05-04
235,56,Feature Request,Low,Open,2026-05-13
236,328,Bug Report,High,Resolved,2024-07-06
237,54,Bug Report,Low,Open,2026-04-16
238,110,Billing,Low,Resolved,2024-11-29
239,151,Account Access,High,Pending,2025-03-16
240,15,Bug Report,Medium,Resolved,2025-09-28
241,443,Billing,Low,Open,2026-01-19
242,11,Login Issue,Low,Pending,2024-06-08
243,32,Billing,Low,Open,2024-12-18
244,389,Bug Report,Low,Open,2025-10-18
245,336,Feature Request,High,Resolved,2024-11-30
246,435,Account Access,Medium,Pending,2025-08-18
247,303,Account Access,Low,Resolved,2025-06-08
248,392,Bug Report,Medium,Resolved,2024-12-27
249,71,Feature Request,High,Pending,2025-04-20
250,100,Billing,Medium,Open,2025-04-06
251,438,Bug Report,Low,Resolved,2026-01-06
252,46,Bug Report,Medium,Pending,2025-09-09
253,310,Login Issue,Medium,Pending,2025-12-31
254,169,Login Issue,Medium,Open,2025-05-14
255,481,Bug Report,High,Resolved,2025-01-28
256,64,Billing,Low,Resolved,2024-09-27
257,172,Billing,Low,Resolved,2024-11-22
258,224,Login Issue,Low,Pending,2025-02-21
259,226,Feature Request,Low,Open,2025-07-17
260,371,Bug Report,High,Resolved,2025-06-21
261,151,Feature Request,Low,Pending,2024-07-02
262,254,Account Access,Medium,Resolved,2024-09-15
263,127,Login Issue,Low,Open,2025-08-25
264,27,Billing,High,Pending,2026-04-15
265,374,Feature Request,Low,Pending,2025-08-18
266,110,Login Issue,Low,Pending,2025-12-08
267,99,Billing,Medium,Pending,2025-03-31
268,380,Account Access,Low,Resolved,2025-11-01
269,121,Account Access,Low,Pending,2026-02-09
270,184,Login Issue,Low,Pending,2025-09-11
271,486,Feature Request,Medium,Open,2025-01-30
272,75,Login Issue,Low,Open,2025-10-14
273,215,Bug Report,Medium,Resolved,2025-06-19
274,75,Login Issue,High,Open,2025-05-07
275,254,Feature Request,Low,Resolved,2025-08-16
276,295,Bug Report,Low,Pending,2025-03-21
277,497,Billing,Low,Resolved,2024-08-29
278,100,Billing,Medium,Resolved,2026-01-07
279,23,Account Access,High,Resolved,2025-07-18
280,32,Billing,High,Resolved,2024-07-15
281,16,Login Issue,Medium,Pending,2024-07-20
282,400,Billing,Low,Resolved,2025-10-07
283,484,Account Access,Low,Resolved,2025-09-06
284,315,Feature Request,Low,Open,2025-08-27
285,220,Feature Request,High,Pending,2024-11-29
286,400,Bug Report,Low,Pending,2025-07-15
287,146,Billing,Medium,Open,2025-03-30
288,399,Bug Report,Medium,Open,2026-04-08
289,53,Login Issue,Low,Resolved,2026-04-27
290,424,Billing,High,Open,2025-12-21
291,455,Account Access,Low,Open,2024-12-12
292,105,Login Issue,Medium,Open,2025-03-22
293,278,Feature Request,Medium,Pending,2024-09-05
294,352,Account Access,Low,Open,2025-08-07
295,192,Account Access,Medium,Open,2024-10-24
296,307,Login Issue,Low,Pending,2025-07-25
297,363,Account Access,Low,Pending,2024-11-25
298,215,Login Issue,Low,Resolved,2026-05-08
299,20,Login Issue,Medium,Pending,2026-04-17
300,325,Bug Report,Low,Open,2025-06-17
301,230,Feature Request,Low,Open,2026-02-08
302,145,Bug Report,High,Pending,2024-06-22
303,87,Bug Report,Medium,Pending,2025-10-29
304,276,Login Issue,High,Resolved,2025-03-11
305,332,Login Issue,High,Pending,2025-01-07
306,87,Feature Request,Low,Resolved,2024-10-15
307,376,Billing,High,Resolved,2025-12-18
308,231,Feature Request,Medium,Pending,2024-11-03
309,129,Bug Report,High,Open,2025-08-24
310,94,Account Access,High,Resolved,2024-07-15
311,455,Feature Request,Low,Open,2024-11-10
312,464,Feature Request,Low,Resolved,2025-04-30
313,244,Login Issue,Medium,Pending,2025-11-06
314,114,Account Access,Low,Resolved,2024-08-25
315,13,Bug Report,High,Pending,2025-06-07
316,429,Bug Report,Medium,Resolved,2025-06-02
317,37,Bug Report,Low,Pending,2024-09-27
318,407,Bug Report,Medium,Open,2025-09-14
319,461,Feature Request,Medium,Resolved,2025-05-04
320,451,Billing,Low,Open,2025-07-12
321,143,Feature Request,High,Resolved,2024-05-31
322,121,Account Access,Low,Resolved,2025-07-16
323,477,Login Issue,Low,Resolved,2026-02-27
324,52,Billing,High,Open,2025-10-16
325,313,Feature Request,High,Open,2025-09-10
326,347,Feature Request,High,Resolved,2025-04-29
327,485,Bug Report,Low,Pending,2024-12-31
328,205,Billing,Medium,Resolved,2025-11-10
329,26,Login Issue,High,Resolved,2026-04-08
330,290,Feature Request,High,Resolved,2025-11-10
