usage_id,customer_id,feature_used,usage_date,session_duration_minutes
1,265,Automation,2025-11-08,81
2,400,Dashboard,2025-06-01,145
3,423,Reports,2024-11-08,136
4,415,Reports,2025-04-24,99
5,5,Reports,2025-09-15,119
6,402,API,2025-02-06,112
7,160,Integrations,2024-11-26,86
8,472,Integrations,2025-09-11,116
9,266,Dashboard,2025-08-16,67
10,291,Dashboard,2024-06-08,30
11,56,API,2025-11-18,46
12,130,Automation,2026-01-19,17
13,419,API,2026-01-11,180
14,214,Automation,2026-03-15,31
15,44,Automation,2025-08-23,55
16,76,Automation,2024-11-14,80
17,391,Reports,2024-08-16,18
18,173,Dashboard,2024-10-30,179
19,198,Reports,2025-06-04,168
20,132,Dashboard,2025-09-22,101
21,470,API,2025-02-27,98
22,262,Reports,2024-11-05,180
23,282,Reports,2025-08-01,147
24,95,API,2025-08-20,143
25,248,Reports,2025-08-10,150
26,360,Automation,2025-10-05,28
27,120,Dashboard,2026-03-24,157
28,87,Reports,2024-06-01,33
29,343,Automation,2025-01-28,171
30,378,Integrations,2025-09-16,62
31,421,API,2026-01-07,48
32,10,API,2026-05-16,160
33,313,Dashboard,2025-10-09,157
34,293,API,2025-04-22,39
35,195,Dashboard,2025-11-10,9
36,54,API,2024-08-22,159
37,183,API,2026-01-01,64
38,340,Reports,2025-02-08,109
39,233,Automation,2025-12-23,23
40,138,API,2024-12-03,81
41,456,Dashboard,2026-01-27,150
42,80,Dashboard,2026-03-22,79
43,215,Dashboard,2024-07-06,72
44,431,Dashboard,2025-07-11,90
45,277,API,2025-08-04,112
46,226,Reports,2026-05-07,91
47,59,Dashboard,2024-07-09,117
48,150,API,2025-10-09,109
49,280,Automation,2025-12-09,175
50,464,Integrations,2025-06-26,91
51,338,Automation,2024-10-20,86
52,497,Automation,2026-03-29,15
53,249,Automation,2026-02-14,66
54,302,Integrations,2025-02-17,106
55,237,Automation,2024-08-21,168
56,442,API,2025-11-26,24
57,300,Reports,2025-12-10,112
58,94,Reports,2025-07-01,68
59,212,Reports,2025-05-19,97
60,459,Dashboard,2025-12-23,43
61,220,API,2025-01-10,119
62,386,API,2024-07-01,124
63,188,Dashboard,2025-08-15,125
64,463,Integrations,2026-04-02,69
65,159,Integrations,2025-05-23,179
66,274,Reports,2026-01-26,8
67,291,Integrations,2025-10-13,66
68,347,API,2025-06-18,38
69,118,Dashboard,2025-06-10,47
70,418,API,2024-06-20,75
71,112,Dashboard,2026-02-05,100
72,11,Reports,2025-01-27,64
73,229,Integrations,2025-01-06,77
74,337,Automation,2025-05-12,54
75,487,API,2025-08-04,96
76,46,Automation,2024-11-03,30
77,307,Automation,2025-07-15,160
78,262,Integrations,2025-12-13,121
79,446,API,2025-08-25,150
80,421,API,2025-10-04,26
81,151,API,2025-08-09,139
82,219,Reports,2025-03-20,36
83,12,Integrations,2025-01-10,54
84,430,Integrations,2026-03-04,77
85,142,Reports,2026-03-19,47
86,153,Dashboard,2025-12-12,21
87,182,Integrations,2025-04-02,81
88,117,Automation,2025-10-18,80
89,105,Dashboard,2025-10-29,80
90,300,Reports,2026-03-19,7
91,235,Automation,2026-03-11,63
92,298,Automation,2024-12-12,175
93,415,Integrations,2024-12-29,80
94,154,Automation,2025-06-22,32
95,48,Dashboard,2025-05-02,90
96,270,Automation,2026-01-05,55
97,85,Dashboard,2025-01-19,98
98,171,Dashboard,2026-03-26,128
99,184,Dashboard,2025-08-09,4
100,70,Dashboard,2024-07-17,53
101,469,API,2024-08-02,129
102,354,API,2024-09-23,53
103,466,Reports,2026-05-06,30
104,456,Dashboard,2026-02-09,100
105,492,Automation,2026-05-06,33
106,65,API,2025-09-29,74
107,296,API,2026-01-08,164
108,12,Integrations,2026-03-22,156
109,281,Integrations,2025-03-10,65
110,390,Dashboard,2025-02-07,60
111,422,Automation,2026-02-22,61
112,358,Dashboard,2025-05-15,97
113,369,Reports,2025-08-10,140
114,186,API,2024-12-16,142
115,421,Integrations,2025-12-15,137
116,324,Integrations,2024-11-27,166
117,11,Automation,2025-06-22,174
118,254,Dashboard,2026-04-21,29
119,484,API,2024-09-25,125
120,397,API,2025-11-04,123
121,15,Dashboard,2025-11-30,18
122,251,Integrations,2025-09-14,77
123,253,Automation,2026-02-17,25
124,372,Dashboard,2026-03-14,28
125,80,Reports,2025-07-20,129
126,334,API,2025-01-22,120
127,232,Automation,2024-12-12,8
128,488,Integrations,2025-10-23,16
129,330,Reports,2025-08-10,150
130,261,Integrations,2024-08-25,153
131,99,Dashboard,2024-10-05,24
132,326,API,2026-05-04,154
133,108,Automation,2025-12-31,83
134,438,API,2024-08-27,79
135,146,Reports,2025-01-23,33
136,440,Automation,2025-08-29,146
137,209,Dashboard,2026-01-08,112
138,476,Integrations,2025-03-09,36
139,51,Integrations,2026-01-23,166
140,437,Dashboard,2024-12-25,164
141,411,API,2025-02-14,158
142,459,Integrations,2026-05-06,17
143,10,API,2025-02-22,9
144,28,Dashboard,2026-03-04,53
145,10,Integrations,2025-05-28,173
146,335,Automation,2025-05-04,56
147,166,Automation,2024-07-27,109
148,131,Integrations,2024-12-18,26
149,444,Dashboard,2025-05-12,12
150,142,Automation,2026-03-01,27
151,396,Reports,2026-03-27,102
152,272,Integrations,2024-06-28,77
153,459,Integrations,2026-05-13,110
154,449,API,2025-07-20,18
155,335,Automation,2024-06-03,15
156,265,Reports,2024-06-09,163
157,405,Automation,2026-03-29,155
158,387,Automation,2025-06-10,72
159,386,Reports,2024-12-05,5
160,79,Dashboard,2024-07-10,49
161,98,Dashboard,2025-01-06,135
162,15,Integrations,2026-02-23,95
163,350,Integrations,2024-11-03,127
164,488,Automation,2025-08-02,32
165,147,Integrations,2025-09-09,136
166,168,Automation,2025-09-07,167
167,320,Dashboard,2026-01-10,177
168,427,Automation,2025-08-22,80
169,200,Reports,2025-11-28,94
170,201,Reports,2024-06-06,17
171,200,Automation,2025-04-04,151
