campaign_id,channel,campaign_type,spend,impressions,clicks,leads_generated,conversions,CAC,ROI,campaign_date
CAM-00001,Email,Account-Based,3942.95,142626,4458,195,9,375.36,12133.1,2025-07-09
CAM-00002,Webinar,Nurture,5442.99,240046,29113,1634,252,21.73,358854.1,2025-03-31
CAM-00003,Webinar,Product Launch,4296.32,309929,29500,2571,320,14.59,464475.5,2023-01-20
CAM-00004,Webinar,Account-Based,7847.7,183864,25822,2695,490,17.16,474335.7,2022-04-25
CAM-00005,Email,Account-Based,2921.0,127832,2211,72,4,868.07,4465.5,2022-07-24
CAM-00006,LinkedIn,Nurture,5892.31,122361,1072,26,3,1872.15,3013.5,2025-11-03
CAM-00007,Content/SEO,Account-Based,3960.4,131499,7412,258,17,253.79,26584.7,2025-11-06
CAM-00008,Retargeting,Nurture,9716.15,413721,26544,1231,154,63.35,78213.4,2022-05-12
CAM-00009,Retargeting,Lead Gen,14723.24,1100287,32062,1966,291,65.72,45923.8,2024-10-03
CAM-00010,Events,Upsell,45727.07,1343961,285823,23205,1877,20.06,175978.0,2024-05-22
CAM-00011,Google Ads,Brand Awareness,6790.52,513853,11525,847,162,42.04,51145.5,2024-04-11
CAM-00012,Cold Outbound,Re-engagement,4766.59,237766,3980,64,3,1853.75,4380.6,2025-01-09
CAM-00013,Retargeting,Product Launch,7633.33,512473,30324,2214,404,22.55,253258.6,2023-03-16
CAM-00014,LinkedIn,Re-engagement,16940.21,1329781,13455,322,46,457.53,18692.9,2022-03-13
CAM-00015,LinkedIn,Nurture,24578.61,1064628,11116,262,16,1868.64,4998.1,2024-02-04
CAM-00016,Retargeting,Re-engagement,10344.41,479403,19752,1267,213,50.45,142355.4,2024-09-22
CAM-00017,Partner,Upsell,9741.16,365441,24699,1879,149,55.53,96512.3,2022-05-26
CAM-00018,Retargeting,Lead Gen,2401.37,74501,5122,386,62,37.79,51919.5,2022-08-08
CAM-00019,Google Ads,Brand Awareness,7092.32,562840,28391,1829,317,21.69,132595.1,2025-07-12
CAM-00020,Email,Brand Awareness,3658.32,258639,9825,481,30,122.87,42825.4,2024-12-10
CAM-00021,Cold Outbound,Re-engagement,5062.86,223595,4590,109,17,348.5,23145.7,2023-07-30
CAM-00022,Events,Nurture,45943.5,498828,159432,10427,1047,35.48,57910.6,2024-04-22
CAM-00023,Content/SEO,Brand Awareness,3038.8,57078,4740,164,22,113.71,47045.7,2023-10-31
CAM-00024,LinkedIn,Product Launch,8325.69,102416,1059,33,5,2040.59,4372.1,2024-03-02
CAM-00025,Email,Re-engagement,2643.3,96161,2337,87,7,474.42,6358.0,2025-10-22
CAM-00026,Retargeting,Re-engagement,3091.44,85706,3249,278,15,226.38,38450.0,2023-05-05
CAM-00027,Content/SEO,Account-Based,4554.72,326558,13132,547,76,51.51,45659.8,2022-08-10
