subscription_id,customer_id,subscription_start_date,renewal_date,MRR,ARR,renewal_status,churn_flag,expansion_revenue,contract_length_months
SUB-000001,CUS-00001,2022-08-17,2023-08-12,2220.83,26650,Renewed,0,0.0,12
SUB-000002,CUS-00001,2023-08-22,2024-08-16,2220.83,26650,Renewed,0,0.0,12
SUB-000003,CUS-00001,2024-08-20,2026-08-10,2220.83,26650,Active,0,0.0,24
SUB-000004,CUS-00002,2022-02-21,2025-02-05,28318.75,339825,Renewed,0,14043.55,36
SUB-000005,CUS-00003,2023-07-18,2025-07-07,7851.75,94221,Renewed,0,0.0,24
SUB-000006,CUS-00003,2025-07-11,2026-07-06,7851.75,94221,Active,0,1590.63,12
SUB-000007,CUS-00004,2023-05-17,2026-05-01,7772.67,93272,Active,0,0.0,36
SUB-000008,CUS-00005,2023-04-03,2026-03-18,664.92,7979,Active,0,0.0,36
SUB-000009,CUS-00005,2026-04-02,2028-03-22,664.92,7979,Active,0,0.0,24
SUB-000010,CUS-00006,2022-10-13,2023-10-08,642.83,7714,Churned,1,0.0,12
SUB-000011,CUS-00007,2022-07-29,2023-07-24,750.83,9010,Renewed,0,0.0,12
SUB-000012,CUS-00008,2025-01-21,2026-01-16,17568.42,210821,Active,0,0.0,12
SUB-000013,CUS-00008,2026-01-25,2027-01-20,17568.42,210821,Active,0,6598.68,12
SUB-000014,CUS-00009,2022-06-28,2023-06-23,4200.08,50401,Renewed,0,0.0,12
SUB-000015,CUS-00010,2025-04-24,2027-04-14,8624.33,103492,Active,0,0.0,24
SUB-000016,CUS-00011,2024-05-14,2026-05-04,867.5,10410,Active,0,0.0,24
SUB-000017,CUS-00011,2026-05-19,2027-05-14,867.5,10410,Active,0,0.0,12
SUB-000018,CUS-00012,2022-03-07,2023-03-02,42513.0,510156,Renewed,0,0.0,12
SUB-000019,CUS-00013,2022-03-03,2025-02-15,28576.08,342913,At Risk,0,0.0,36
SUB-000020,CUS-00013,2025-02-27,2026-02-22,28576.08,342913,Active,0,0.0,12
SUB-000021,CUS-00013,2026-03-09,2027-03-04,28576.08,342913,Active,0,0.0,12
SUB-000022,CUS-00014,2022-07-11,2024-06-30,548.75,6585,Renewed,0,0.0,24
SUB-000023,CUS-00015,2023-03-24,2024-03-18,422.67,5072,Renewed,0,0.0,12
SUB-000024,CUS-00015,2024-03-29,2025-03-24,422.67,5072,Churned,1,0.0,12
SUB-000025,CUS-00016,2023-04-22,2024-04-16,610.25,7323,Churned,1,0.0,12
SUB-000026,CUS-00017,2024-10-31,2025-10-26,3140.0,37680,Churned,1,0.0,12
SUB-000027,CUS-00017,2025-10-30,2026-10-25,3140.0,37680,Active,0,0.0,12
SUB-000028,CUS-00018,2025-05-17,2026-05-12,4485.42,53825,Active,0,0.0,12
SUB-000029,CUS-00019,2022-02-24,2023-02-19,2760.08,33121,Renewed,0,0.0,12
SUB-000030,CUS-00019,2023-03-01,2024-02-24,2760.08,33121,Churned,1,0.0,12
SUB-000031,CUS-00020,2025-02-23,2026-02-18,1771.08,21253,Active,0,0.0,12
SUB-000032,CUS-00020,2026-02-24,2027-02-19,1771.08,21253,Active,0,0.0,12
SUB-000033,CUS-00021,2023-02-12,2025-02-01,6124.5,73494,Renewed,0,0.0,24
