ticket_id,customer_id,issue_type,priority,created_date,resolution_time_hours,SLA_breach_flag,CSAT_score,escalation_flag
TKT-000001,CUS-09231,Billing,High,2024-06-23,6.4,0,4.3,0
TKT-000002,CUS-02342,Reporting,Critical,2025-04-11,14.3,1,2.3,0
TKT-000003,CUS-03211,Account Access,Critical,2022-08-08,8.3,1,2.4,0
TKT-000004,CUS-00986,Onboarding,Medium,2025-02-15,7.2,0,4.2,0
TKT-000005,CUS-03053,Billing,Low,2023-10-25,86.6,1,2.3,0
TKT-000006,CUS-06381,Reporting,Medium,2023-02-08,42.7,1,2.4,1
TKT-000007,CUS-00327,Reporting,Low,2023-04-27,77.4,1,3.0,1
TKT-000008,CUS-06217,Performance,Critical,2025-08-02,4.4,1,2.2,0
TKT-000009,CUS-02057,Integration Issue,High,2025-12-16,11.0,1,2.8,1
TKT-000010,CUS-08444,Technical Bug,Medium,2024-05-24,13.3,0,4.6,0
TKT-000011,CUS-07972,Integration Issue,Low,2024-04-12,91.6,1,2.2,1
TKT-000012,CUS-03970,Integration Issue,High,2024-04-26,24.7,1,3.8,1
TKT-000013,CUS-01601,Reporting,High,2022-12-06,23.0,1,1.7,0
TKT-000014,CUS-02837,Onboarding,Medium,2022-08-30,38.2,1,2.9,1
TKT-000015,CUS-02683,Onboarding,Medium,2023-07-28,29.5,1,2.8,0
TKT-000016,CUS-00908,Reporting,High,2025-06-02,8.2,1,3.4,0
TKT-000017,CUS-06979,Feature Request,Medium,2024-03-26,27.3,1,2.0,0
TKT-000018,CUS-00847,Reporting,Medium,2023-06-01,39.6,1,2.9,0
TKT-000019,CUS-03881,Performance,High,2025-01-09,11.6,1,3.7,1
TKT-000020,CUS-03031,Technical Bug,Low,2023-07-13,75.2,1,5.1,0
TKT-000021,CUS-09909,Performance,Medium,2022-02-26,49.8,1,2.8,0
TKT-000022,CUS-04322,Feature Request,High,2023-03-17,3.3,0,3.5,0
TKT-000023,CUS-00512,Reporting,Low,2025-03-12,84.7,1,4.0,1
TKT-000024,CUS-00433,Billing,Low,2023-01-27,22.1,0,3.7,0
TKT-000025,CUS-07989,Billing,Low,2024-09-05,3.5,0,3.6,0
TKT-000026,CUS-07375,Performance,Medium,2024-05-10,21.1,0,4.7,0
TKT-000027,CUS-00531,Onboarding,High,2023-10-20,2.8,0,3.7,0
TKT-000028,CUS-03559,Onboarding,Medium,2023-10-27,34.9,1,2.5,0
TKT-000029,CUS-06723,Account Access,Medium,2025-08-09,42.4,1,3.4,0
TKT-000030,CUS-06136,Integration Issue,Medium,2025-10-09,37.2,1,2.8,0
TKT-000031,CUS-09531,Feature Request,High,2023-08-17,4.4,0,3.6,0
TKT-000032,CUS-08981,Billing,High,2025-01-14,12.2,1,4.2,0
TKT-000033,CUS-06853,Technical Bug,Low,2024-02-26,47.1,0,3.3,0
TKT-000034,CUS-02179,Integration Issue,Low,2024-03-26,168.1,1,3.2,1
TKT-000035,CUS-04220,Onboarding,Medium,2024-08-20,10.0,0,4.9,0
TKT-000036,CUS-06807,Onboarding,Medium,2024-09-16,30.3,1,2.3,1
TKT-000037,CUS-09566,Billing,High,2023-01-21,11.6,1,3.4,0
TKT-000038,CUS-00694,Feature Request,Low,2025-06-03,100.0,1,3.1,1
TKT-000039,CUS-08198,Feature Request,Critical,2023-06-03,7.8,1,3.6,0
TKT-000040,CUS-01693,Onboarding,Medium,2022-02-26,28.6,1,1.9,0
TKT-000041,CUS-06879,Technical Bug,Medium,2024-08-30,33.8,1,1.9,0
TKT-000042,CUS-04817,Feature Request,Low,2024-03-21,91.0,1,2.9,1
TKT-000043,CUS-00267,Billing,Medium,2022-11-25,9.5,0,3.0,0
TKT-000044,CUS-00003,Feature Request,Critical,2025-03-01,4.3,1,3.3,1
TKT-000045,CUS-07722,Integration Issue,Low,2024-09-18,153.0,1,3.1,1
TKT-000046,CUS-03188,Performance,High,2023-11-05,1.3,0,4.5,0
TKT-000047,CUS-07556,Reporting,Low,2024-12-28,70.1,0,3.4,0
